"Administrative","Administrative_Duration","Informational","Informational_Duration","ProductRelated","ProductRelated_Duration","BounceRates","ExitRates","PageValues","SpecialDay","Month","OperatingSystems","Browser","Region","TrafficType","VisitorType","Weekend","Revenue","Month_encoded","VisitorType_isNew_Visitor","VisitorType_isReturning_Visitor","Session_Duration","Page_Count","Avg_Duration_Per_Page"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","1","1","1","1","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","2","64","0","0.1","0","0","Feb","2","2","1","2","Returning_Visitor","0","0","1","0","1","64","2","32"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","4","1","9","3","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","10","627.5","0.02","0.05","0","0","Feb","3","3","1","4","Returning_Visitor","1","0","1","0","1","627.5","10","62.75"
"0","0","0","0","19","154.2166667","0.015789474","0.024561404","0","0","Feb","2","2","1","3","Returning_Visitor","0","0","1","0","1","154.2166667","19","8.1166666684211"
"0","0","0","0","1","0","0.2","0.2","0","0.4","Feb","2","4","3","3","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","2","37","0","0.1","0","0.8","Feb","2","2","2","3","Returning_Visitor","0","0","1","0","1","37","2","18.5"
"0","0","0","0","3","395","0","0.066666667","0","0","Feb","1","1","3","3","Returning_Visitor","0","0","1","0","1","395","3","131.66666666667"
"0","0","0","0","16","407.75","0.01875","0.025833333","0","0.4","Feb","1","1","4","3","Returning_Visitor","0","0","1","0","1","407.75","16","25.484375"
"0","0","0","0","6","98","0","0.066666667","0","0","Feb","2","5","1","3","Returning_Visitor","0","0","1","0","1","98","6","16.333333333333"
"0","0","0","0","2","68","0","0.1","0","0","Feb","3","2","3","3","Returning_Visitor","0","0","1","0","1","68","2","34"
"2","53","0","0","23","1668.285119","0.008333333","0.016312636","0","0","Feb","1","1","9","3","Returning_Visitor","0","0","1","0","1","1721.285119","25","68.85140476"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","1","1","4","3","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","13","334.9666667","0","0.007692308","0","0","Feb","1","1","1","4","Returning_Visitor","1","0","1","0","1","334.9666667","13","25.766666669231"
"0","0","0","0","2","32","0","0.1","0","0","Feb","2","2","1","3","Returning_Visitor","0","0","1","0","1","32","2","16"
"0","0","0","0","8","136.1666667","0","0.008333333","0","1","Feb","2","2","5","1","Returning_Visitor","1","0","1","0","1","136.1666667","8","17.0208333375"
"0","0","0","0","2","0","0.2","0.2","0","0","Feb","3","3","1","3","Returning_Visitor","0","0","1","0","1","0","2","0"
"0","0","0","0","3","105","0","0.033333333","0","0","Feb","3","2","1","5","Returning_Visitor","0","0","1","0","1","105","3","35"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","2","2","4","1","Returning_Visitor","1","0","1","0","1","0","1","0"
"0","0","0","0","5","156","0","0.04","0","0","Feb","1","1","9","3","Returning_Visitor","0","0","1","0","1","156","5","31.2"
"0","0","0","0","4","76","0.05","0.1","0","0","Feb","1","1","1","3","Returning_Visitor","0","0","1","0","1","76","4","19"
"0","0","0","0","4","63","0","0.05","0","0.2","Feb","2","6","1","3","Returning_Visitor","0","0","1","0","1","63","4","15.75"
"1","6","1","0","45","1582.75","0.043478261","0.050821256","54.17976426","0.4","Feb","3","2","1","1","Returning_Visitor","0","0","1","0","1","1588.75","47","33.803191489362"
"0","0","0","0","2","35","0","0.1","0","0","Feb","1","1","6","3","Returning_Visitor","0","0","1","0","1","35","2","17.5"
"0","0","0","0","3","78","0","0.066666667","0","0","Feb","1","2","6","6","Returning_Visitor","1","0","1","0","1","78","3","26"
"0","0","0","0","8","209.5","0","0.025","0","0","Feb","2","2","1","1","Returning_Visitor","0","0","1","0","1","209.5","8","26.1875"
"0","0","0","0","14","380.5","0.014285714","0.028571429","0","0","Feb","2","2","1","1","Returning_Visitor","0","0","1","0","1","380.5","14","27.178571428571"
"0","0","0","0","52","2086.242857","0.015384615","0.020352564","0","0","Feb","2","2","7","1","Returning_Visitor","0","0","1","0","1","2086.242857","52","40.120054942308"
"0","0","0","0","8","388","0.025","0.05625","0","0","Feb","3","2","1","4","Returning_Visitor","1","0","1","0","1","388","8","48.5"
